id,ccn,incident_date_time,time_spread,org_id,org_name,tipsoft_id,incident_type_id,incident_type_name,incident_type_pinnable,lng,lat,public_narrative,processing_level,address,description,agency_page_link
219566005,"13-2240528","2013-08-06T02:13:10Z",0,718,"Buffalo Police Department",0,100,"BURGLARY",true,-78.823359,42.892342,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block KRUPP AV","BURGLARY",
221517441,"13-2180998","2013-08-06T09:55:00Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.829629,42.892631,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"300 Block CURTISS ST","ASSAULT",
214875243,"13-2180623","2013-08-06T04:35:39Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.831057,42.857698,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"S PARK AV & LILAC ST","ASSAULT",
214875258,"13-2181062","2013-08-06T11:12:07Z",0,718,"Buffalo Police Department",0,98,"ROBBERY",true,-78.824009,42.848329,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1800 Block S PARK AV","ROBBERY",
214875254,"13-2181013","2013-08-06T10:12:00Z",0,718,"Buffalo Police Department",0,100,"BURGLARY",true,-78.81896999999999,42.84716,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"500 Block MCKINLEY PW","BURGLARY",
218186298,"13-349941","2013-08-07T02:35:00Z",0,11841,"Amherst Police Department",0,100,"-CRIMINAL TRESPASS 2ND",true,-78.713956,43.012041,"CRIMINAL TRESPASS 2ND",3,"1 Block WELLINGWOOD DR","1892",
218187450,"13-350034","2013-08-07T12:30:00Z",0,11841,"Amherst Police Department",0,100,"-BURGLARY 2ND",true,-78.791422,42.975613,"BURGLARY 2ND",3,"100 Block DOCKSIDE PW","1892",
218186686,"13-349990","2013-08-07T09:48:22Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.81176499999999,42.981991,"PETIT LARCENY",3,"3200 Block SHERIDAN DR","1892",
218186678,"13-350032","2013-08-07T14:16:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.81176499999999,42.981991,"PETIT LARCENY",3,"3200 Block SHERIDAN DR","1892",
218186928,"13-350068","2013-08-07T15:30:00Z",0,11841,"Amherst Police Department",0,103,"-GRAND LARCENY 4TH",true,-78.818072,42.980416,"GRAND LARCENY 4TH",3,"3100 Block SHERIDAN DR","1892",
218186684,"13-350122","2013-08-07T19:28:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.81176499999999,42.981991,"PETIT LARCENY",3,"3200 Block SHERIDAN DR","1892",
218186300,"13-350120","2013-08-07T19:17:00Z",0,11841,"Amherst Police Department",0,100,"-CRIMINAL TRESPASS 2ND",true,-78.754817,42.99472,"CRIMINAL TRESPASS 2ND",3,"100 Block OLD LYME DR","1892",
216839899,"13-2191120","2013-08-07T10:00:00Z",0,718,"Buffalo Police Department",0,99,"UUV",true,-78.905829,42.942325,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"2100 Block NIAGARA ST","",
